Year,Animal_Type,breed,cnt,total,share,rank_in_year_type,prev_cnt,yoy_cnt_diff,yoy_cnt_pct_change,prev_share,yoy_share_point_diff,yoy_share_pct_change
2024,CAT,RUSSIAN BLUE,99,18729,0.0053,12,111,-12,-0.1081,0.0063,-0.001,-0.1587
2025,CAT,RUSSIAN BLUE,101,15290,0.0066,11,99,2,0.0202,0.0053,0.0013,0.2453
2023,CAT,SAVANNAH,10,17747,0.0006,23,null,null,null,null,null,null
2024,CAT,SAVANNAH,12,18729,0.0006,25,10,2,0.2,0.0006,0,0
2025,CAT,SAVANNAH,9,15290,0.0006,27,12,-3,-0.25,0.0006,0,0
2024,CAT,SCOTTISH,2,18729,0.0001,42,null,null,null,null,null,null
2025,CAT,SCOTTISH,1,15290,0.0001,59,2,-1,-0.5,0.0001,0,0
2023,CAT,SCOTTISH FOLD,94,17747,0.0053,11,null,null,null,null,null,null
2024,CAT,SCOTTISH FOLD,101,18729,0.0054,11,94,7,0.0745,0.0053,0.0001,0.0189
2025,CAT,SCOTTISH FOLD,101,15290,0.0066,12,101,0,0,0.0054,0.0012,0.2222
2023,CAT,SCOTTISH STRAIGHT,2,17747,0.0001,39,null,null,null,null,null,null
2024,CAT,SCOTTISH STRAIGHT,2,18729,0.0001,43,2,0,0,0.0001,0,0
2025,CAT,SCOTTISH STRAIGHT,5,15290,0.0003,34,2,3,1.5,0.0001,0.0002,2
2025,CAT,SHORT HAIRED CA,1,15290,0.0001,60,null,null,null,null,null,null
2023,CAT,SIAMESE,297,17747,0.0167,4,null,null,null,null,null,null
2024,CAT,SIAMESE,295,18729,0.0158,4,297,-2,-0.0067,0.0167,-0.0009,-0.0539
2025,CAT,SIAMESE,255,15290,0.0167,4,295,-40,-0.1356,0.0158,0.0009,0.057
2025,CAT,SIAMESE AND TAB,1,15290,0.0001,61,null,null,null,null,null,null
2023,CAT,SIBERIAN,1,17747,0.0001,46,null,null,null,null,null,null
2025,CAT,SIBERIAN,1,15290,0.0001,62,1,0,0,0.0001,0,0
2023,CAT,SINGAPURA,1,17747,0.0001,47,null,null,null,null,null,null
2023,CAT,SNOWSHOE,3,17747,0.0002,34,null,null,null,null,null,null
2024,CAT,SNOWSHOE,7,18729,0.0004,33,3,4,1.3333,0.0002,0.0002,1
2025,CAT,SNOWSHOE,10,15290,0.0007,24,7,3,0.4286,0.0004,0.0003,0.75
2023,CAT,SOMALI,1,17747,0.0001,48,null,null,null,null,null,null
2024,CAT,SOMALI,1,18729,0.0001,46,1,0,0,0.0001,0,0
2023,CAT,SPHYNX,29,17747,0.0016,16,null,null,null,null,null,null
2024,CAT,SPHYNX,34,18729,0.0018,17,29,5,0.1724,0.0016,0.0002,0.125
2025,CAT,SPHYNX,26,15290,0.0017,17,34,-8,-0.2353,0.0018,-0.0001,-0.0556
2025,CAT,STANDARD HOUSE,1,15290,0.0001,63,null,null,null,null,null,null
2025,CAT,TABBY SHORT HAI,1,15290,0.0001,64,null,null,null,null,null,null
2025,CAT,TONKINESE,1,15290,0.0001,65,null,null,null,null,null,null
2025,CAT,TORTOISESHELL,1,15290,0.0001,66,null,null,null,null,null,null
2023,CAT,TOYBOB,1,17747,0.0001,49,null,null,null,null,null,null
2024,CAT,TOYBOB,1,18729,0.0001,47,1,0,0,0.0001,0,0
2025,CAT,TOYBOB,1,15290,0.0001,67,1,0,0,0.0001,0,0
2023,CAT,TURKISH ANGORA,15,17747,0.0008,21,null,null,null,null,null,null
2024,CAT,TURKISH ANGORA,18,18729,0.001,22,15,3,0.2,0.0008,0.0002,0.25
2025,CAT,TURKISH ANGORA,16,15290,0.001,20,18,-2,-0.1111,0.001,0,0
2023,CAT,TURKISH VAN,2,17747,0.0001,40,null,null,null,null,null,null
2024,CAT,TURKISH VAN,10,18729,0.0005,27,2,8,4,0.0001,0.0004,4
2025,CAT,TURKISH VAN,7,15290,0.0005,32,10,-3,-0.3,0.0005,0,0
2023,CAT,TUXEDO CAT,1,17747,0.0001,50,null,null,null,null,null,null
2024,CAT,UNKNOWN,3,18729,0.0002,40,null,null,null,null,null,null
2025,CAT,UNKNOWN,3,15290,0.0002,41,3,0,0,0.0002,0,0
2025,CAT,UNSURE,1,15290,0.0001,68,null,null,null,null,null,null
2023,DOG,1/2 MALTESE,1,44954,0,239,null,null,null,null,null,null
2023,DOG,AFFENPINSCHER,9,44954,0.0002,171,null,null,null,null,null,null
2024,DOG,AFFENPINSCHER,4,46201,0.0001,202,9,-5,-0.5556,0.0002,-0.0001,-0.5
2025,DOG,AFFENPINSCHER,7,37502,0.0002,176,4,3,0.75,0.0001,0.0001,1
2023,DOG,AFGHAN HOUND,1,44954,0,240,null,null,null,null,null,null
2024,DOG,AFGHAN HOUND,1,46201,0,244,1,0,0,0,0,null
2025,DOG,AFRICANIS,1,37502,0,250,null,null,null,null,null,null
2023,DOG,AIREDALE TERRIER,73,44954,0.0016,79,null,null,null,null,null,null
2024,DOG,AIREDALE TERRIER,65,46201,0.0014,91,73,-8,-0.1096,0.0016,-0.0002,-0.125
2025,DOG,AIREDALE TERRIER,50,37502,0.0013,91,65,-15,-0.2308,0.0014,-0.0001,-0.0714
2023,DOG,AKBASH,10,44954,0.0002,168,null,null,null,null,null,null
2024,DOG,AKBASH,7,46201,0.0002,185,10,-3,-0.3,0.0002,0,0
2025,DOG,AKBASH,5,37502,0.0001,190,7,-2,-0.2857,0.0002,-0.0001,-0.5
2025,DOG,AKBASH GREAT PY,1,37502,0,251,null,null,null,null,null,null
2023,DOG,AKITA,67,44954,0.0015,84,null,null,null,null,null,null
2024,DOG,AKITA,77,46201,0.0017,79,67,10,0.1493,0.0015,0.0002,0.1333
2025,DOG,AKITA,77,37502,0.0021,69,77,0,0,0.0017,0.0004,0.2353
2023,DOG,ALASKAN HUSKY,87,44954,0.0019,70,null,null,null,null,null,null
2024,DOG,ALASKAN HUSKY,73,46201,0.0016,82,87,-14,-0.1609,0.0019,-0.0003,-0.1579
2025,DOG,ALASKAN HUSKY,52,37502,0.0014,87,73,-21,-0.2877,0.0016,-0.0002,-0.125
2023,DOG,ALASKAN KLEE KAI,14,44954,0.0003,150,null,null,null,null,null,null
