Year,Animal_Type,FSA,total,top1_breed,top1_cnt,top2_breed,top2_cnt,top3_breed,top3_cnt
2024,DOG,M6H,861,LABRADOR RETRIEVER,103,GOLDEN RETRIEVER,53,GERMAN SHEPHERD DOG,49
2024,DOG,M6J,689,LABRADOR RETRIEVER,77,GOLDEN RETRIEVER,42,GERMAN SHEPHERD DOG,37
2024,DOG,M6K,839,LABRADOR RETRIEVER,70,GOLDEN RETRIEVER,57,CHIHUAHUA SHORTHAIR,49
2024,DOG,M6L,195,GOLDEN RETRIEVER,16,SHIHTZU,14,GERMAN SHEPHERD DOG,11
2024,DOG,M6M,446,SHIHTZU,36,MALTESE,29,AMERICAN BULLDOG,23
2024,DOG,M6N,715,LABRADOR RETRIEVER,61,CHIHUAHUA SHORTHAIR,45,SHIHTZU,41
2024,DOG,M6P,1056,LABRADOR RETRIEVER,130,GOLDEN RETRIEVER,88,GERMAN SHEPHERD DOG,44
2024,DOG,M6R,613,LABRADOR RETRIEVER,81,GOLDEN RETRIEVER,44,POODLE MINIATURE,30
2024,DOG,M6S,940,LABRADOR RETRIEVER,115,GOLDEN RETRIEVER,94,POODLE MINIATURE,39
2024,DOG,M8V,926,LABRADOR RETRIEVER,87,GOLDEN RETRIEVER,59,GERMAN SHEPHERD DOG,45
2024,DOG,M8W,583,LABRADOR RETRIEVER,61,GOLDEN RETRIEVER,43,SHIHTZU,32
2024,DOG,M8X,331,LABRADOR RETRIEVER,45,GOLDEN RETRIEVER,43,POODLE MINIATURE,17
2024,DOG,M8Y,535,GOLDEN RETRIEVER,54,LABRADOR RETRIEVER,49,GERMAN SHEPHERD DOG,27
2024,DOG,M8Z,491,GOLDEN RETRIEVER,51,LABRADOR RETRIEVER,46,GERMAN SHEPHERD DOG,29
2024,DOG,M9A,723,LABRADOR RETRIEVER,85,GOLDEN RETRIEVER,62,COCKER SPANIEL,33
2024,DOG,M9B,698,LABRADOR RETRIEVER,78,GOLDEN RETRIEVER,63,GERMAN SHEPHERD DOG,39
2024,DOG,M9C,756,LABRADOR RETRIEVER,70,GOLDEN RETRIEVER,54,GERMAN SHEPHERD DOG,41
2024,DOG,M9L,83,GERMAN SHEPHERD DOG,12,AMERICAN BULLY,9,MALTESE,7
2024,DOG,M9M,168,SHIHTZU,19,GOLDEN RETRIEVER,12,LABRADOR RETRIEVER,12
2024,DOG,M9N,341,LABRADOR RETRIEVER,33,GERMAN SHEPHERD DOG,22,SHIHTZU,16
2024,DOG,M9P,315,LABRADOR RETRIEVER,30,SHIHTZU,20,GOLDEN RETRIEVER,16
2024,DOG,M9R,392,GERMAN SHEPHERD DOG,30,GOLDEN RETRIEVER,28,SHIHTZU,25
2024,DOG,M9V,288,LABRADOR RETRIEVER,22,AMERICAN BULLDOG,21,GERMAN SHEPHERD DOG,21
2024,DOG,M9W,388,LABRADOR RETRIEVER,35,GERMAN SHEPHERD DOG,32,SHIHTZU,28
2024,DOG,N2J,1,GOLDEN RETRIEVER,1,null,null,null,null
2025,CAT,K9V,1,DOMESTIC SHORTHAIR,1,null,null,null,null
2025,CAT,L1T,2,DOMESTIC SHORTHAIR,2,null,null,null,null
2025,CAT,L8N,1,DOMESTIC SHORTHAIR,1,null,null,null,null
2025,CAT,M1B,172,DOMESTIC SHORTHAIR,127,DOMESTIC MEDIUMHAIR,14,DOMESTIC LONGHAIR,10
2025,CAT,M1C,158,DOMESTIC SHORTHAIR,116,DOMESTIC MEDIUMHAIR,15,DOMESTIC LONGHAIR,13
2025,CAT,M1E,328,DOMESTIC SHORTHAIR,260,DOMESTIC MEDIUMHAIR,28,DOMESTIC LONGHAIR,13
2025,CAT,M1G,100,DOMESTIC SHORTHAIR,69,DOMESTIC LONGHAIR,9,DOMESTIC MEDIUMHAIR,9
2025,CAT,M1H,100,DOMESTIC SHORTHAIR,77,DOMESTIC MEDIUMHAIR,7,DOMESTIC LONGHAIR,6
2025,CAT,M1J,171,DOMESTIC SHORTHAIR,125,DOMESTIC MEDIUMHAIR,12,DOMESTIC LONGHAIR,9
2025,CAT,M1K,214,DOMESTIC SHORTHAIR,168,DOMESTIC LONGHAIR,12,DOMESTIC MEDIUMHAIR,12
2025,CAT,M1L,172,DOMESTIC SHORTHAIR,126,DOMESTIC LONGHAIR,12,DOMESTIC MEDIUMHAIR,10
2025,CAT,M1M,161,DOMESTIC SHORTHAIR,118,DOMESTIC LONGHAIR,13,DOMESTIC MEDIUMHAIR,10
2025,CAT,M1N,158,DOMESTIC SHORTHAIR,112,DOMESTIC MEDIUMHAIR,13,DOMESTIC LONGHAIR,10
2025,CAT,M1P,217,DOMESTIC SHORTHAIR,157,DOMESTIC LONGHAIR,15,DOMESTIC MEDIUMHAIR,12
2025,CAT,M1R,112,DOMESTIC SHORTHAIR,75,DOMESTIC LONGHAIR,11,DOMESTIC MEDIUMHAIR,7
2025,CAT,M1S,107,DOMESTIC SHORTHAIR,86,DOMESTIC LONGHAIR,8,DOMESTIC MEDIUMHAIR,3
2025,CAT,M1T,124,DOMESTIC SHORTHAIR,86,DOMESTIC LONGHAIR,18,DOMESTIC MEDIUMHAIR,9
2025,CAT,M1V,110,DOMESTIC SHORTHAIR,84,DOMESTIC LONGHAIR,6,DOMESTIC MEDIUMHAIR,5
2025,CAT,M1W,184,DOMESTIC SHORTHAIR,148,DOMESTIC MEDIUMHAIR,10,DOMESTIC LONGHAIR,8
2025,CAT,M1X,20,DOMESTIC SHORTHAIR,15,DOMESTIC MEDIUMHAIR,3,AMERICAN SHORTHAIR,1
2025,CAT,M2H,100,DOMESTIC SHORTHAIR,75,DOMESTIC MEDIUMHAIR,8,DOMESTIC LONGHAIR,5
2025,CAT,M2J,250,DOMESTIC SHORTHAIR,181,DOMESTIC MEDIUMHAIR,21,DOMESTIC LONGHAIR,16
2025,CAT,M2K,107,DOMESTIC SHORTHAIR,77,DOMESTIC LONGHAIR,7,DOMESTIC MEDIUMHAIR,5
2025,CAT,M2L,40,DOMESTIC SHORTHAIR,23,RAGDOLL,6,DOMESTIC MEDIUMHAIR,4
2025,CAT,M2M,115,DOMESTIC SHORTHAIR,74,BRITISH SHORTHAIR,8,DOMESTIC MEDIUMHAIR,7
2025,CAT,M2N,401,DOMESTIC SHORTHAIR,270,DOMESTIC LONGHAIR,38,DOMESTIC MEDIUMHAIR,26
2025,CAT,M2P,32,DOMESTIC SHORTHAIR,21,DOMESTIC LONGHAIR,3,MAINE COON,3
2025,CAT,M2R,150,DOMESTIC SHORTHAIR,113,DOMESTIC MEDIUMHAIR,12,DOMESTIC LONGHAIR,8
2025,CAT,M3A,217,DOMESTIC SHORTHAIR,162,DOMESTIC MEDIUMHAIR,17,DOMESTIC LONGHAIR,14
2025,CAT,M3B,42,DOMESTIC SHORTHAIR,29,DOMESTIC LONGHAIR,5,DOMESTIC MEDIUMHAIR,3
2025,CAT,M3C,177,DOMESTIC SHORTHAIR,127,DOMESTIC LONGHAIR,11,DOMESTIC MEDIUMHAIR,5
2025,CAT,M3H,171,DOMESTIC SHORTHAIR,118,PERSIAN,10,DOMESTIC LONGHAIR,9
2025,CAT,M3J,116,DOMESTIC SHORTHAIR,84,DOMESTIC LONGHAIR,10,DOMESTIC MEDIUMHAIR,5
2025,CAT,M3K,42,DOMESTIC SHORTHAIR,38,DOMESTIC LONGHAIR,2,NORWEGIAN FOREST CAT,1
2025,CAT,M3L,51,DOMESTIC SHORTHAIR,38,DOMESTIC LONGHAIR,5,DOMESTIC MEDIUMHAIR,4
2025,CAT,M3M,119,DOMESTIC SHORTHAIR,97,DOMESTIC MEDIUMHAIR,8,DOMESTIC LONGHAIR,7
2025,CAT,M3N,136,DOMESTIC SHORTHAIR,104,DOMESTIC LONGHAIR,12,DOMESTIC MEDIUMHAIR,10
2025,CAT,M4A,58,DOMESTIC SHORTHAIR,45,DOMESTIC MEDIUMHAIR,6,DOMESTIC LONGHAIR,4
2025,CAT,M4B,136,DOMESTIC SHORTHAIR,103,DOMESTIC LONGHAIR,9,DOMESTIC MEDIUMHAIR,7
2025,CAT,M4C,373,DOMESTIC SHORTHAIR,278,DOMESTIC MEDIUMHAIR,29,DOMESTIC LONGHAIR,28
2025,CAT,M4E,240,DOMESTIC SHORTHAIR,174,DOMESTIC LONGHAIR,23,DOMESTIC MEDIUMHAIR,17
2025,CAT,M4G,129,DOMESTIC SHORTHAIR,112,DOMESTIC LONGHAIR,4,DOMESTIC MEDIUMHAIR,4
2025,CAT,M4H,43,DOMESTIC SHORTHAIR,32,DOMESTIC MEDIUMHAIR,4,DOMESTIC LONGHAIR,3
2025,CAT,M4J,290,DOMESTIC SHORTHAIR,235,DOMESTIC MEDIUMHAIR,21,DOMESTIC LONGHAIR,13
