Year,Animal_Type,FSA,total,top1_breed,top1_cnt,top2_breed,top2_cnt,top3_breed,top3_cnt
2025,DOG,M5N,374,GOLDEN RETRIEVER,49,LABRADOR RETRIEVER,39,AUSTRALIAN SHEPHERD,25
2025,DOG,M5P,477,LABRADOR RETRIEVER,52,GOLDEN RETRIEVER,49,POODLE MINIATURE,26
2025,DOG,M5R,614,LABRADOR RETRIEVER,54,GOLDEN RETRIEVER,50,POODLE MINIATURE,36
2025,DOG,M5S,215,LABRADOR RETRIEVER,18,AUSTRALIAN SHEPHERD,13,GOLDEN RETRIEVER,12
2025,DOG,M5T,230,LABRADOR RETRIEVER,20,CHIHUAHUA SHORTHAIR,16,GERMAN SHEPHERD DOG,12
2025,DOG,M5V,1168,GOLDEN RETRIEVER,103,LABRADOR RETRIEVER,74,COCKER SPANIEL,64
2025,DOG,M6A,216,GERMAN SHEPHERD DOG,24,GOLDEN RETRIEVER,20,SHIHTZU,20
2025,DOG,M6B,378,GOLDEN RETRIEVER,41,POODLE STANDARD,36,LABRADOR RETRIEVER,32
2025,DOG,M6C,538,LABRADOR RETRIEVER,82,GOLDEN RETRIEVER,45,POODLE MINIATURE,29
2025,DOG,M6E,627,LABRADOR RETRIEVER,70,AMERICAN BULLY,62,SHIHTZU,36
2025,DOG,M6G,691,LABRADOR RETRIEVER,84,GOLDEN RETRIEVER,82,GERMAN SHEPHERD DOG,30
2025,DOG,M6H,829,LABRADOR RETRIEVER,111,GOLDEN RETRIEVER,58,GERMAN SHEPHERD DOG,50
2025,DOG,M6J,600,LABRADOR RETRIEVER,58,GOLDEN RETRIEVER,38,AUSTRALIAN SHEPHERD,29
2025,DOG,M6K,811,LABRADOR RETRIEVER,71,CHIHUAHUA SHORTHAIR,43,GOLDEN RETRIEVER,40
2025,DOG,M6L,213,CANE CORSO,29,SHIHTZU,17,GOLDEN RETRIEVER,14
2025,DOG,M6M,394,SHIHTZU,29,MALTESE,23,GERMAN SHEPHERD DOG,20
2025,DOG,M6N,626,LABRADOR RETRIEVER,47,GOLDEN RETRIEVER,34,GERMAN SHEPHERD DOG,29
2025,DOG,M6P,1045,LABRADOR RETRIEVER,115,GOLDEN RETRIEVER,87,GREAT DANE,54
2025,DOG,M6R,526,LABRADOR RETRIEVER,66,GOLDEN RETRIEVER,42,POODLE MINIATURE,22
2025,DOG,M6S,891,LABRADOR RETRIEVER,122,GOLDEN RETRIEVER,82,UNKNOWN,45
2025,DOG,M8V,891,LABRADOR RETRIEVER,88,GOLDEN RETRIEVER,60,GERMAN SHEPHERD DOG,38
2025,DOG,M8W,530,LABRADOR RETRIEVER,55,GOLDEN RETRIEVER,36,SHIHTZU,31
2025,DOG,M8X,301,LABRADOR RETRIEVER,38,GOLDEN RETRIEVER,36,SHIHTZU,17
2025,DOG,M8Y,424,GOLDEN RETRIEVER,40,LABRADOR RETRIEVER,38,GERMAN SHEPHERD DOG,20
2025,DOG,M8Z,443,GOLDEN RETRIEVER,42,LABRADOR RETRIEVER,39,GERMAN SHEPHERD DOG,27
2025,DOG,M9A,690,LABRADOR RETRIEVER,68,CHIHUAHUA SHORTHAIR,61,GOLDEN RETRIEVER,58
2025,DOG,M9B,615,LABRADOR RETRIEVER,72,GOLDEN RETRIEVER,64,GERMAN SHEPHERD DOG,33
2025,DOG,M9C,634,LABRADOR RETRIEVER,54,GOLDEN RETRIEVER,43,COCKER SPANIEL,39
2025,DOG,M9L,73,SHIHTZU,9,AMERICAN BULLY,7,CHIHUAHUA SHORTHAIR,5
2025,DOG,M9M,148,SHIHTZU,14,LABRADOR RETRIEVER,11,AMERICAN BULLDOG,10
2025,DOG,M9N,302,LABRADOR RETRIEVER,38,COCKER SPANIEL,20,AMERICAN BULLDOG,16
2025,DOG,M9P,258,LABRADOR RETRIEVER,30,CHIHUAHUA SHORTHAIR,15,POMERANIAN,13
2025,DOG,M9R,326,LABRADOR RETRIEVER,23,GERMAN SHEPHERD DOG,21,SHIHTZU,18
2025,DOG,M9V,288,ALASKAN KLEE KAI,49,GERMAN SHEPHERD DOG,23,LABRADOR RETRIEVER,17
2025,DOG,M9W,421,ROTTWEILER,59,GERMAN SHEPHERD DOG,34,LABRADOR RETRIEVER,30
2026,CAT,M1B,1,SIAMESE + DOMES,1,,,,
2026,CAT,M1E,3,BREED UNKNOWN,1,BRITISH SHORTHAIR,1,DOMESTIC LONGHAIR,1
2026,CAT,M1G,2,DOMESTIC LONGHAIR,1,DOMESTIC SHORTHAIR,1,,
2026,CAT,M1H,1,SCOTTISH FOLD,1,,,,
2026,CAT,M1J,3,DOMESTIC SHORTHAIR,2,BREED UNKNOWN,1,,
2026,CAT,M1K,1,DOMESTIC SHORTHAIR,1,,,,
2026,CAT,M1M,2,DOMESTIC SHORTHAIR,2,,,,
2026,CAT,M1N,3,DOMESTIC SHORTHAIR,3,,,,
2026,CAT,M1S,1,DOMESTIC SHORTHAIR,1,,,,
2026,CAT,M1T,1,BREED UNKNOWN,1,,,,
2026,CAT,M1W,1,SIAMESE,1,,,,
2026,CAT,M1X,1,RAGDOLL,1,,,,
2026,CAT,M2J,5,DOMESTIC SHORTHAIR,3,RAGDOLL,1,TURKISH ANGORA,1
2026,CAT,M2K,4,DOMESTIC SHORTHAIR,4,,,,
2026,CAT,M2L,1,DOMESTIC SHORTHAIR,1,,,,
2026,CAT,M2N,11,DOMESTIC SHORTHAIR,7,BRITISH SHORTHAIR,2,CLASSIC TABBY,1
2026,CAT,M2R,5,DOMESTIC SHORTHAIR,5,,,,
2026,CAT,M3A,11,DOMESTIC SHORTHAIR,9,DOMESTIC LONGHAIR,2,,
2026,CAT,M3C,8,DOMESTIC SHORTHAIR,7,RUSSIAN BLUE,1,,
2026,CAT,M3H,8,BOMBAY,4,BREED UNKNOWN,1,DOMESTIC SHORTHAIR,1
2026,CAT,M4B,4,DOMESTIC SHORTHAIR,3,CORNISH REX,1,,
2026,CAT,M4C,11,DOMESTIC SHORTHAIR,10,TORTISHELL,1,,
2026,CAT,M4E,12,MAINE COON,6,DOMESTIC SHORTHAIR,4,RAGDOLL,2
2026,CAT,M4G,11,DOMESTIC SHORTHAIR,10,MAINE COON,1,,
2026,CAT,M4J,5,DOMESTIC MEDIUMHAIR,3,DOMESTIC SHORTHAIR,2,,
2026,CAT,M4K,4,DOMESTIC SHORTHAIR,3,PERSIAN,1,,
2026,CAT,M4L,12,DOMESTIC SHORTHAIR,7,BREED UNKNOWN,2,ABYSSINIAN,1
2026,CAT,M4M,5,DOMESTIC SHORTHAIR,5,,,,
2026,CAT,M4N,1,DOMESTIC SHORTHAIR,1,,,,
2026,CAT,M4P,4,AMERICAN SHORTHAIR,1,DOMESTIC MEDIUMHAIR,1,DOMESTIC SHORTHAIR,1
2026,CAT,M4S,13,DOMESTIC SHORTHAIR,11,SIAMESE,2,,
2026,CAT,M4T,1,DOMESTIC SHORTHAIR,1,,,,
2026,CAT,M4X,4,DOMESTIC MEDIUMHAIR,2,DOMESTIC SHORTHAIR,1,RAGDOLL,1
2026,CAT,M4Y,10,RUSSIAN BLUE,6,DOMESTIC SHORTHAIR,3,BREED UNKNOWN,1
2026,CAT,M5A,7,DOMESTIC SHORTHAIR,5,BRITISH SHORTHAIR,1,RAGDOLL,1
2026,CAT,M5B,3,DOMESTIC LONGHAIR,1,DOMESTIC SHORTHAIR,1,RAGDOLL,1
2026,CAT,M5C,2,DOMESTIC SHORTHAIR,2,,,,
2026,CAT,M5H,2,DOMESTIC SHORTHAIR,2,,,,
2026,CAT,M5R,1,DOMESTIC SHORTHAIR,1,,,,
2026,CAT,M5T,8,DOMESTIC SHORTHAIR,8,,,,
2026,CAT,M5V,5,DOMESTIC SHORTHAIR,4,HIMALAYAN,1,,
2026,CAT,M6A,5,DOMESTIC SHORTHAIR,5,,,,
2026,CAT,M6E,6,DOMESTIC SHORTHAIR,3,DOMESTIC MEDIUMHAIR,2,RUSSIAN BLUE,1
2026,CAT,M6G,2,DOMESTIC SHORTHAIR,2,,,,
2026,CAT,M6H,14,DOMESTIC LONGHAIR,8,DOMESTIC SHORTHAIR,6,,
2026,CAT,M6J,6,DOMESTIC SHORTHAIR,6,,,,
2026,CAT,M6K,5,DOMESTIC SHORTHAIR,5,,,,
2026,CAT,M6M,1,BRITISH SHORTHAIR,1,,,,
2026,CAT,M6N,8,DOMESTIC SHORTHAIR,7,DOMESTIC LONGHAIR,1,,
2026,CAT,M6P,3,BREED UNKNOWN,1,DOMESTIC LONGHA,1,DOMESTIC SHORTHAIR,1
2026,CAT,M6R,4,DOMESTIC LONGHAIR,3,DOMESTIC SHORTHAIR,1,,
2026,CAT,M6S,3,PERSIAN,1,TURKISH VAN,1,TUXEDO CAT,1
2026,CAT,M8V,1,DOMESTIC MEDIUMHAIR,1,,,,
2026,CAT,M8W,2,MIXED BREED,2,,,,
2026,CAT,M8Y,1,DOMESTIC SHORTHAIR,1,,,,
2026,CAT,M8Z,2,DOMESTIC LONGHAIR,2,,,,
2026,CAT,M9A,13,DOMESTIC SHORTHAIR,7,BOMBAY,5,BREED UNKNOWN,1
2026,CAT,M9B,2,DOMESTIC SHORTHAIR,2,,,,
2026,CAT,M9C,5,RAGDOLL,3,DOMESTIC SHORTHAIR,2,,
2026,CAT,M9M,1,DOMESTIC SHORTHAIR,1,,,,
2026,CAT,M9N,2,DOMESTIC SHORTHAIR,2,,,,
2026,CAT,M9W,1,BREED UNKNOWN,1,,,,
2026,DOG,M1B,1,GERMAN SHEPHERD DOG,1,,,,
2026,DOG,M1C,15,COCKER SPANIEL,6,DUTCH SHEPHERD,3,SHETLAND SHEEPDOG,2
2026,DOG,M1E,12,LABRADOR RETRIEVER,10,BEAGLE,1,COCKER SPANIEL,1
2026,DOG,M1G,1,SHETLAND SHEEPD,1,,,,
2026,DOG,M1J,2,AMERICAN BULLY,1,GERMAN SHEPHERD DOG,1,,
2026,DOG,M1M,3,AUSTRALIAN SHEPHERD,2,SHORKIE (SHIH T,1,,
2026,DOG,M1N,6,PUDDLE POINTER,2,BERNEDOODLE (BE,1,CHIHUAHUA SHORTHAIR,1
2026,DOG,M1P,1,LEONBERGER,1,,,,
2026,DOG,M1R,7,DOBERMAN PINSCHER,4,AMERICAN BULLY POCKET,1,CHIHUAHUA SHORTHAIR,1
2026,DOG,M1T,1,MALTESE,1,,,,
2026,DOG,M1V,3,CHIHUAHUA MIX,1,COCOPOO,1,POMERANIAN,1
2026,DOG,M1W,4,GERMAN SHEPHERD DOG,2,AMERICAN BULLY,1,MALTESE,1
2026,DOG,M2H,2,BASSET HOUND,2,,,,
2026,DOG,M2J,12,MALTESE,8,AUSTRALIAN SHEPHERD,1,BORDER COLLIE,1
2026,DOG,M2K,7,MALTESE,5,BREED UNKNOWN,1,CARDIGAN WELSH,1
2026,DOG,M2M,2,AMERICAN ESKIMO DOG,1,POMERANIAN,1,,
2026,DOG,M2N,21,GOLDEN RETRIEVER,14,AUSTRALIAN SHEPHERD,1,FRENCH BULLDOG,1
2026,DOG,M2R,2,AKITA,2,,,,
2026,DOG,M3A,1,GOLDEN RETRIEVER,1,,,,
2026,DOG,M3B,4,COCKER SPANIEL,2,GERMAN SHEPHERD DOG,2,,
2026,DOG,M3C,3,FRENCH BULLDOG,1,GOLDEN RETRIEVER,1,MALTIPOO (MALTE,1
2026,DOG,M3H,19,SIBERIAN HUSKY,5,UNKNOWN,5,HAVANESE,3
2026,DOG,M3J,10,AMERICAN BULLDOG,9,UNKNOWN,1,,
2026,DOG,M3K,1,GERMAN SHEPHERD DOG,1,,,,
2026,DOG,M3L,2,LABRADOR RETRIE,1,MALTESE,1,,
2026,DOG,M3N,3,COCKER SPANIEL,1,GERMAN SHEPHERD DOG,1,LABRADOR RETRIEVER,1
2026,DOG,M4C,12,YORKSHIRE TERRIER,6,AMERICAN STAFFORDSHIRE TERRIER,1,BORDER COLLIE,1
2026,DOG,M4E,8,BICHON FRISE,2,PLOTT HOUND,2,SIBERIAN HUSKY,2
2026,DOG,M4G,3,MINIATURE BULL TERRIER,3,,,,
2026,DOG,M4K,8,BORDER COLLIE,5,NEWFOUNDLAND,2,UNKNOWN,1
2026,DOG,M4L,18,MALTESE,4,BASSET HOUND,3,SAMOYED,3
2026,DOG,M4M,19,BEAGLE,6,RHODESIAN RIDGEBACK,6,PLOTT HOUND,2
2026,DOG,M4N,5,GOLDEN RETRIEVER,5,,,,
2026,DOG,M4P,1,CHUG (CHIHUAHUA,1,,,,
2026,DOG,M4R,2,PEMBROKE WELSH CORGI,1,POMERANIAN,1,,
2026,DOG,M4S,2,LABRADOR RETRIEVER,1,MINI AMERICAN S,1,,
2026,DOG,M4T,2,GOLDEN RETRIEVER,1,UNKNOWN,1,,
2026,DOG,M4V,6,BORDER COLLIE,5,BREED UNKNOWN,1,,
2026,DOG,M4W,9,UNKNOWN,4,GOLDEN RETRIEVER,2,MALTESE,1
2026,DOG,M4X,1,LABRADOR RETRIEVER,1,,,,
2026,DOG,M4Y,10,LABRADOR RETRIEVER,6,CHIHUAHUA MIX,1,MINIATURE LONG-,1
2026,DOG,M5A,12,SHIBA INU,5,JINDO,4,AUSTRALIAN SHEPHERD,2
2026,DOG,M5B,6,PUG,4,RAT TERRIER,2,,
2026,DOG,M5C,3,SHIBA INU,3,,,,
2026,DOG,M5G,1,CHIHUAHUA SHORTHAIR,1,,,,
2026,DOG,M5H,3,PEMBROKE WELSH CORGI,3,,,,
2026,DOG,M5J,3,CHIHUAHUA SHORTHAIR,3,,,,
2026,DOG,M5M,2,FRENCH BULLDOG,1,POODLE STANDARD,1,,
2026,DOG,M5N,1,AUSTRALIAN SHEPHERD,1,,,,
2026,DOG,M5P,10,MALTESE,5,UNKNOWN,4,LABRADOR RETRIEVER,1
2026,DOG,M5R,2,UNKNOWN,2,,,,
2026,DOG,M5S,1,BOXER,1,,,,
2026,DOG,M5T,6,CHIHUAHUA LONGHAIR,6,,,,
2026,DOG,M5V,11,CHOW CHOW,5,AMERICAN BULLY,1,BOSTON TERRIER,1
2026,DOG,M6A,2,SHIHTZU,1,SIBERIAN HUSKY,1,,
2026,DOG,M6B,3,LABRADOR RETRIEVER,3,,,,
2026,DOG,M6C,15,GERMAN SHEPHERD DOG,6,BASENJI,3,AUSTRALIAN SHEPHERD,2
2026,DOG,M6E,10,AUSTRALIAN SHEPHERD,4,AMERICAN BULLY,2,RAT TERRIER,2
2026,DOG,M6G,4,PARSON RUSSELL TERRIER,3,WEST HIGHLAND WHITE TERRIER,1,,
2026,DOG,M6H,21,AUSTRALIAN SHEPHERD,9,AUSTRALIAN KELPIE,4,DACHSHUND MINIATURE,4
2026,DOG,M6J,6,PUG,3,CHESAPEAKE BAY RETRIEVER,1,CHIHUAHUA SHORTHAIR,1
2026,DOG,M6K,10,SIBERIAN HUSKY,3,PEMBROKE WELSH CORGI,2,CHUG (CHIHUAHUA,1
2026,DOG,M6L,2,GOLDEN RETRIEVER,2,,,,
2026,DOG,M6M,8,CATAHOULA LEOPARD DOG,4,AUSTRALIAN SHEPHERD,1,GERMAN SHEPHERD DOG,1
2026,DOG,M6N,1,BRUSSELS GRIFFON,1,,,,
2026,DOG,M6P,11,POODLE STANDARD,7,BORDER COLLIE,1,CANE CORSO,1
2026,DOG,M6R,3,UNKNOWN,2,BLUETICK COONHOUND,1,,
2026,DOG,M6S,7,POINTER,4,CHIHUAHUA MIX,1,SIBERIAN HUSKY,1
2026,DOG,M8V,5,AMERICAN BULLDOG,2,AUSTRALIAN SHEPHERD,1,GERMAN SHEPHERD DOG,1
2026,DOG,M8W,7,BICHON FRISE,2,AMERICAN BULLY,1,GOLDEN RETRIEVER,1
