Year,ANIMAL_TYPE,breed,cnt,share
2024,DOG,BELGIAN MALINOIS,115,0.0025
2025,DOG,CHOW CHOW,92,0.0025
2023,DOG,BRITTANY,112,0.0025
2023,DOG,RHODESIAN RIDGEBACK,108,0.0024
2025,DOG,GREAT PYRENEES,89,0.0024
2023,DOG,GREYHOUND,108,0.0024
2024,DOG,RHODESIAN RIDGEBACK,108,0.0023
2025,DOG,BELGIAN MALINOIS,88,0.0023
2024,CAT,BURMESE,43,0.0023
2025,DOG,COLLIE ROUGH,87,0.0023
2024,DOG,GREAT PYRENEES,104,0.0023
2025,DOG,GREYHOUND,87,0.0023
2023,DOG,GREAT PYRENEES,102,0.0023
2024,DOG,COLLIE ROUGH,105,0.0023
2023,DOG,BORDER TERRIER,99,0.0022
2024,DOG,PAPILLON,101,0.0022
2023,DOG,LHASA APSO,101,0.0022
2023,DOG,BELGIAN MALINOIS,100,0.0022
2023,DOG,CHOW CHOW,95,0.0021
2025,DOG,RAT TERRIER,80,0.0021
2023,CAT,BURMESE,37,0.0021
2025,DOG,AKITA,77,0.0021
2024,DOG,GREYHOUND,98,0.0021
2024,DOG,CHINESE SHAR-PEI,99,0.0021
2025,DOG,BORDER TERRIER,77,0.0021
2023,CAT,BOMBAY,37,0.0021
2025,DOG,NOVA SCOTIA DUCK TOLLING RETRIEVER,75,0.002
2024,CAT,DEVON REX,38,0.002
2024,DOG,RAT TERRIER,91,0.002
2023,DOG,CHINESE SHAR-PEI,89,0.002
2025,CAT,DEVON REX,30,0.002
2024,DOG,LHASA APSO,90,0.0019
2023,DOG,NOVA SCOTIA DUCK TOLLING RETRIEVER,86,0.0019
2023,DOG,ALASKAN HUSKY,87,0.0019
2024,DOG,BORDER TERRIER,87,0.0019
2023,DOG,PAPILLON,86,0.0019
2025,DOG,PAPILLON,71,0.0019
2023,DOG,RAT TERRIER,85,0.0019
2024,DOG,NOVA SCOTIA DUCK TOLLING RETRIEVER,86,0.0019
2025,DOG,RHODESIAN RIDGEBACK,72,0.0019
2023,DOG,BASSET HOUND,80,0.0018
2023,DOG,CHIHUAHUA LONGHAIR,83,0.0018
2023,DOG,OLDE ENGLISH BULLDOGGE,79,0.0018
2023,DOG,COLLIE SMOOTH,83,0.0018
2025,DOG,FEIST,67,0.0018
2025,CAT,BURMESE,27,0.0018
2023,DOG,FEIST,81,0.0018
2024,CAT,SPHYNX,34,0.0018
2025,DOG,SAINT BERNARD ROUGH,62,0.0017
2024,DOG,FEIST,79,0.0017
2025,DOG,POINTER,63,0.0017
2024,DOG,OLDE ENGLISH BULLDOGGE,77,0.0017
2024,DOG,BASSET HOUND,78,0.0017
2025,DOG,LHASA APSO,63,0.0017
2025,CAT,SPHYNX,26,0.0017
2024,DOG,ALASKAN MALAMUTE,79,0.0017
2025,DOG,COLLIE SMOOTH,62,0.0017
2024,DOG,AKITA,77,0.0017
2024,DOG,AMERICAN PIT BULL TERRIER,79,0.0017
2025,DOG,BASSET HOUND,60,0.0016
2023,DOG,WEIMARANER,70,0.0016
2023,DOG,SAINT BERNARD ROUGH,72,0.0016
2024,DOG,ALASKAN HUSKY,73,0.0016
2023,DOG,AIREDALE TERRIER,73,0.0016
2023,CAT,SPHYNX,29,0.0016
2024,DOG,POINTER,72,0.0016
2024,DOG,COLLIE SMOOTH,76,0.0016
2024,DOG,SAINT BERNARD ROUGH,73,0.0016
2025,DOG,OLDE ENGLISH BULLDOGGE,60,0.0016
2023,DOG,ALASKAN MALAMUTE,72,0.0016
2023,DOG,BULLMASTIFF,72,0.0016
2025,CAT,ABYSSINIAN,25,0.0016
2024,DOG,NEWFOUNDLAND,68,0.0015
2023,DOG,AKITA,67,0.0015
2025,DOG,CATAHOULA LEOPARD DOG,55,0.0015
2023,DOG,NEWFOUNDLAND,67,0.0015
2024,DOG,ENGLISH COCKER SPANIEL,68,0.0015
2024,DOG,WEIMARANER,71,0.0015
2025,DOG,ALASKAN MALAMUTE,57,0.0015
2025,DOG,ENGLISH COCKER SPANIEL,57,0.0015
2024,DOG,BULL TERRIER,70,0.0015
2025,DOG,CHINESE SHAR-PEI,58,0.0015
2024,DOG,DOGO ARGENTINO,69,0.0015
2024,DOG,PRESA CANARIO,69,0.0015
2024,CAT,ABYSSINIAN,28,0.0015
2025,DOG,ALASKAN HUSKY,52,0.0014
2024,DOG,AIREDALE TERRIER,65,0.0014
2024,CAT,EXOTIC SHORTHAIR,27,0.0014
2023,DOG,AMERICAN STAFFORDSHIRE TERRIER,64,0.0014
2025,DOG,BULL TERRIER,54,0.0014
2025,DOG,BULLMASTIFF,51,0.0014
2025,DOG,SCOTTISH TERRIER,54,0.0014
2023,CAT,DEVON REX,25,0.0014
2025,DOG,PEKINGESE,52,0.0014
2024,DOG,PEKINGESE,65,0.0014
2025,DOG,AMERICAN STAFFORDSHIRE TERRIER,52,0.0014
2023,CAT,ABYSSINIAN,23,0.0013
2024,DOG,SCOTTISH TERRIER,58,0.0013
2023,DOG,BULL TERRIER,60,0.0013
2025,DOG,MIXED BREED,50,0.0013
2025,DOG,WEIMARANER,48,0.0013
2023,DOG,POINTER,57,0.0013
2025,DOG,PRESA CANARIO,47,0.0013
2025,DOG,DOGO ARGENTINO,48,0.0013
2025,DOG,AIREDALE TERRIER,50,0.0013
2023,DOG,SCOTTISH TERRIER,58,0.0013
2024,DOG,BULLMASTIFF,61,0.0013
2024,DOG,AMERICAN STAFFORDSHIRE TERRIER,58,0.0013
2025,DOG,NEWFOUNDLAND,48,0.0013
2025,CAT,NORWEGIAN FOREST CAT,20,0.0013
2023,DOG,PEKINGESE,60,0.0013
2023,DOG,ENGLISH COCKER SPANIEL,57,0.0013
2023,DOG,ITALIAN GREYHOUND,60,0.0013
2023,DOG,AMERICAN PIT BULL TERRIER,54,0.0012
2025,DOG,AMERICAN PIT BULL TERRIER,46,0.0012
2024,DOG,FOX TERRIER WIRE,55,0.0012
2024,DOG,GANARASKAN,56,0.0012
2023,DOG,CATAHOULA LEOPARD DOG,54,0.0012
2023,DOG,DOGO ARGENTINO,53,0.0012
2024,DOG,DALMATIAN,54,0.0012
2024,DOG,CATAHOULA LEOPARD DOG,54,0.0012
2023,DOG,DALMATIAN,54,0.0012
2023,DOG,FOX TERRIER WIRE,56,0.0012
2023,DOG,PRESA CANARIO,53,0.0012
2023,DOG,BOUVIER DES FLANDRES,51,0.0011
2024,DOG,CHINESE CRESTED,50,0.0011
2023,DOG,GANARASKAN,50,0.0011
2023,CAT,NORWEGIAN FOREST CAT,19,0.0011
2024,DOG,BOUVIER DES FLANDRES,49,0.0011
2023,DOG,IRISH SETTER,50,0.0011
2023,DOG,BASENJI,49,0.0011
2025,DOG,FOX TERRIER WIRE,40,0.0011
2024,DOG,IRISH SETTER,49,0.0011
2023,DOG,ENGLISH COONHOUND,48,0.0011
2025,DOG,IRISH SETTER,41,0.0011
2024,DOG,DACHSHUND LONGHAIRED,46,0.001
2024,CAT,EUROPEAN SHORTHAIR,18,0.001
2025,DOG,BOUVIER DES FLANDRES,37,0.001
2025,DOG,BRUSSELS GRIFFON,37,0.001
2025,DOG,ENGLISH COONHOUND,39,0.001
2024,CAT,TURKISH ANGORA,18,0.001
2025,DOG,LAGOTTO ROMAGNOLO,38,0.001
2024,CAT,NORWEGIAN FOREST CAT,19,0.001
2025,DOG,ITALIAN GREYHOUND,36,0.001
2025,DOG,FLAT COATED RETRIEVER,38,0.001
2023,DOG,ENGLISH SETTER,43,0.001
2025,CAT,TURKISH ANGORA,16,0.001
2024,DOG,BRUSSELS GRIFFON,46,0.001
2023,DOG,BRUSSELS GRIFFON,47,0.001
2024,DOG,ENGLISH COONHOUND,45,0.001
2023,DOG,FLAT COATED RETRIEVER,43,0.001
2023,DOG,CHINESE CRESTED,44,0.001
2025,DOG,BASENJI,34,0.0009
2025,DOG,DALMATIAN,32,0.0009
2025,DOG,SAINT BERNARD SMOOTH,32,0.0009
2024,DOG,FLAT COATED RETRIEVER,43,0.0009
2025,CAT,EUROPEAN SHORTHAIR,14,0.0009
2024,DOG,WELSH SPRINGER SPANIEL,40,0.0009
2024,DOG,ITALIAN GREYHOUND,41,0.0009
2024,DOG,BASENJI,43,0.0009
2024,DOG,ENGLISH SETTER,43,0.0009
2025,DOG,GANARASKAN,33,0.0009
2024,DOG,LAGOTTO ROMAGNOLO,37,0.0008
2023,DOG,DACHSHUND LONGHAIRED,34,0.0008
2024,DOG,SAINT BERNARD SMOOTH,39,0.0008
2025,DOG,AUSTRALIAN KELPIE,31,0.0008
